instance,context,stay at home decision
cpd41,1,
cpd37,1,
cpd43,1,stay at home
cpd53,1,
cpd10,1,
cpd3,1,stay at home
cpd4,1,stay at home
cpd35,1,
cpd26,1,stay at home
cpd47,1,
cpd51,1,
cpd21,1,stay at home
cpd49,1,
cpd42,1,stay at home
cpd14,1,
cpd15,1,stay at home
cpd34,1,
cpd29,1,stay at home
cpd33,1,
cpd7,1,
cpd11,1,stay at home
cpd27,1,stay at home
cpd16,1,stay at home
cpd54,1,stay at home
cpd6,1,stay at home
cpd19,1,not stay at home
cpd20,1,
cpd36,1,stay at home
cpd5,1,stay at home
cpd9,1,stay at home
cpd22,1,stay at home
cpd48,1,
cpd28,1,stay at home
cpd23,1,stay at home
cpd25,1,stay at home
cpd46,1,stay at home
cpd44,1,stay at home
cpd18,1,not stay at home
cpd39,1,stay at home
cpd24,1,stay at home
cpd2,1,
cpd45,1,stay at home
cpd8,1,
cpd38,1,stay at home
cpd1,1,
cpd12,1,
cpd40,1,
cpd50,1,stay at home
cpd52,1,
cpd17,1,
cpd31,1,stay at home
cpd13,1,
cpd32,1,
cpd30,1,stay at home
