instance,context,stay at home decision
cpd3,1,
cpd41,1,stay at home
cpd53,1,stay at home
cpd37,1,
cpd43,1,stay at home
cpd26,1,stay at home
cpd10,1,
cpd35,1,
cpd47,1,stay at home
cpd4,1,stay at home
cpd51,1,
cpd15,1,
cpd21,1,stay at home
cpd14,1,
cpd42,1,
cpd33,1,
cpd49,1,
cpd34,1,stay at home
cpd7,1,stay at home
cpd16,1,
cpd27,1,
cpd29,1,stay at home
cpd54,1,stay at home
cpd6,1,
cpd11,1,stay at home
cpd19,1,stay at home
cpd22,1,
cpd36,1,
cpd5,1,
cpd20,1,stay at home
cpd28,1,stay at home
cpd18,1,stay at home
cpd44,1,stay at home
cpd48,1,stay at home
cpd23,1,stay at home
cpd46,1,stay at home
cpd9,1,stay at home
cpd2,1,
cpd25,1,not stay at home
cpd39,1,stay at home
cpd45,1,
cpd31,1,
cpd24,1,stay at home
cpd12,1,stay at home
cpd1,1,stay at home
cpd8,1,stay at home
cpd50,1,
cpd30,1,
cpd17,1,
cpd52,1,
cpd40,1,
cpd32,1,not stay at home
cpd38,1,
cpd13,1,stay at home
