instance,context,stay at home decision
cpd31,1,not stay at home
cpd21,1,stay at home
cpd4,1,
cpd29,1,not stay at home
cpd34,1,not stay at home
cpd32,1,not stay at home
cpd20,1,stay at home
cpd35,1,
cpd24,1,not stay at home
cpd11,1,stay at home
cpd39,1,stay at home
cpd8,1,not stay at home
cpd48,1,stay at home
cpd2,1,not stay at home
cpd45,1,not stay at home
cpd38,1,not stay at home
cpd7,1,
cpd9,1,not_stay_at_home
cpd12,1,stay at home
cpd47,1,not stay at home
cpd22,1,not stay at home
cpd16,1,not stay at home
cpd15,1,not stay at home
cpd1,1,not stay at home
cpd28,1,not stay at home
cpd50,1,not stay at home
cpd27,1,not stay at home
cpd51,1,not stay at home
cpd54,1,
cpd49,1,not stay at home
cpd23,1,not stay at home
cpd53,1,
cpd6,1,stay at home
cpd42,1,
cpd40,1,
cpd44,1,not stay at home
cpd30,1,stay at home
cpd5,1,not stay at home
cpd10,1,not stay at home
cpd41,1,stay at home
cpd14,1,not stay at home
cpd25,1,not stay at home
cpd43,1,not stay at home
cpd19,1,not stay at home
cpd46,1,
cpd33,1,not stay at home
cpd26,1,not stay at home
cpd3,1,not stay at home
cpd36,1,not stay at home
cpd52,1,
cpd37,1,not stay at home
cpd17,1,not stay at home
cpd18,1,not stay at home
cpd13,1,not stay at home
