instance,replicate_id,method,mean_rank,sem_rank,mean_loss,sem_loss,model
da-01-longTermCareInsurance,0,vanilla,0.46875,0.029164266414293205,-0.5463709343322455,0.035798766885633486,Gpt4o
da-01-longTermCareInsurance,1,vanilla,0.4765625,0.020574458479723612,-0.536688902176929,0.03078042017400886,Gpt4o
da-01-longTermCareInsurance,2,vanilla,0.515625,0.024943231918666573,-0.5000345155843019,0.03312554941680776,Gpt4o
da-01-longTermCareInsurance,3,vanilla,0.53125,0.018615106161914703,-0.49142493977380347,0.030754655320733154,Gpt4o
da-01-longTermCareInsurance,4,vanilla,0.5,0.02245066275334686,-0.5177449512875495,0.032398324667592716,Gpt4o
da-01-longTermCareInsurance,0,vanilla-sc,0.5,0.01122533137667343,-0.5182255736856827,0.025932353514777486,Gpt4o
da-01-longTermCareInsurance,1,vanilla-sc,0.4921875,0.017693255361358972,-0.5244789496914557,0.028845128280141304,Gpt4o
da-01-longTermCareInsurance,2,vanilla-sc,0.4921875,0.017693255361358972,-0.5244789496914557,0.028845128280141304,Gpt4o
da-01-longTermCareInsurance,3,vanilla-sc,0.484375,0.019239248673379346,-0.5307255665042552,0.029911269526963782,Gpt4o
da-01-longTermCareInsurance,4,vanilla-sc,0.5078125,0.0078125,-0.5119789568728833,0.024592819039077778,Gpt4o
da-02-carryUmbrella,0,vanilla,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,1,vanilla,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,2,vanilla,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,3,vanilla,0.46875,0.08962708359030336,-0.53125,0.08962708359030336,Gpt4o
da-02-carryUmbrella,4,vanilla,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,0,vanilla-sc,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,1,vanilla-sc,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
