instance,replicate_id,method,mean_rank,sem_rank,mean_loss,sem_loss,model
da-01-longTermCareInsurance,0,cot,0.5,0.025100604028203088,-0.5154702247940764,0.038301600904195,Gpt4o
da-01-longTermCareInsurance,1,cot,0.5390625,0.016303320554068416,-0.48650051735868305,0.027554160343366565,Gpt4o
da-01-longTermCareInsurance,2,cot,0.5,0.015875015875023813,-0.5188214951112633,0.02733725542181393,Gpt4o
da-01-longTermCareInsurance,3,cot,0.5078125,0.017693255361358972,-0.5114028673283306,0.030932423887273748,Gpt4o
da-01-longTermCareInsurance,4,cot,0.515625,0.027352749095191805,-0.5115731977217013,0.0361312923121337,Gpt4o
da-01-longTermCareInsurance,0,cot-sc,0.53125,0.014849717603484107,-0.49150044975485596,0.030989509481251322,Gpt4o
da-01-longTermCareInsurance,1,cot-sc,0.5,0.015875015875023813,-0.5168975382019233,0.029744953088781376,Gpt4o
da-01-longTermCareInsurance,2,cot-sc,0.515625,0.019239248673379346,-0.5036351955974114,0.033215975806901686,Gpt4o
da-01-longTermCareInsurance,3,cot-sc,0.515625,0.019239248673379346,-0.5036351955974114,0.033215975806901686,Gpt4o
da-01-longTermCareInsurance,4,cot-sc,0.515625,0.010868880369378943,-0.5047627923593678,0.02742615169283705,Gpt4o
da-02-carryUmbrella,0,cot,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,1,cot,0.53125,0.08962708359030336,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,2,cot,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,3,cot,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,4,cot,0.59375,0.0882099653319905,-0.40625,0.0882099653319905,Gpt4o
da-02-carryUmbrella,0,cot-sc,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,1,cot-sc,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,2,cot-sc,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,3,cot-sc,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-02-carryUmbrella,4,cot-sc,0.65625,0.08530513305661301,-0.34375,0.08530513305661301,Gpt4o
da-04-cargoContainerScreening,0,cot,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,1,cot,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,2,cot,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,3,cot,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,4,cot,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,0,cot-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,1,cot-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,2,cot-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,3,cot-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,4,cot-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-05-chemicalUsage,0,cot,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,1,cot,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,2,cot,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,3,cot,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,4,cot,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,0,cot-sc,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,1,cot-sc,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,2,cot-sc,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,3,cot-sc,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-05-chemicalUsage,4,cot-sc,0.5,0.09128709291752768,-0.3883372777375095,0.1155254432360951,Gpt4o
da-06-stayAtHome,0,cot,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,1,cot,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,2,cot,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,3,cot,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,4,cot,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,0,cot-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,1,cot-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
da-06-stayAtHome,2,cot-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,Gpt4o
